Sample,CAT SUM,Si,Al,Na,Ca,Cr,Fe,Mg,K,Ti,Mn,Total,Mg#,Location
A313-CPX-3,2.44,1.94,0.05,0.02,0.86,0,0.84,0.27,0,0.03,0.02,4.02,24,South BBC
A313-CPX-4,2.45,1.95,0.04,0.02,0.84,0,0.86,0.25,0,0.03,0.02,4.02,22.9,South BBC
A313-CPX-5,2.56,1.94,0.04,0.02,0.85,0,0.91,0.22,0,0.02,0.02,4.03,19.5,South BBC
A313-CPX-6,2.55,1.94,0.05,0.02,0.82,0,0.87,0.27,0,0.03,0.02,4.01,23.5,South BBC
Average,2.49,1.94,0.05,0.02,0.84,0,0.87,0.26,0,0.03,0.02,4.02,22.7,South BBC
A386A-CPX-1,2.37,1.94,0.06,0.02,0.74,0,0.53,0.68,0,0.02,0.01,4.02,56.1,South BBC
A386A-CPX-2,2.39,1.96,0.04,0.02,0.74,0,0.65,0.57,0,0.02,0.02,4.01,46.7,South BBC
A386A-CPX-3,2.39,1.96,0.04,0.02,0.73,0,0.73,0.48,0,0.02,0.02,4.01,39.5,South BBC
A386A-CPX-4,2.45,1.97,0.03,0.02,0.72,0,0.81,0.41,0,0.02,0.03,4,33.4,South BBC
A386A-CPX-5,2.47,1.97,0.03,0.02,0.82,0,0.85,0.29,0,0.01,0.02,4.02,25.2,South BBC
A386A-CPX-6,2.39,1.97,0.04,0.02,0.72,0,0.66,0.54,0,0.02,0.02,4,44.9,South BBC
Average,2.41,1.96,0.04,0.02,0.74,0,0.71,0.49,0,0.02,0.02,4.01,41,South BBC
A412-CPX-1,2.42,1.95,0.05,0.02,0.78,0,0.71,0.47,0,0.02,0.02,4.02,39.8,South BBC
A412-CPX-2,2.4,1.95,0.05,0.02,0.78,0,0.7,0.48,0,0.02,0.02,4.02,40.6,South BBC
A412-CPX-3,2.37,1.94,0.05,0.02,0.8,0,0.71,0.46,0,0.02,0.02,4.02,39.2,South BBC
A412-CPX-4,2.42,1.94,0.05,0.02,0.79,0,0.71,0.46,0,0.02,0.02,4.02,39.3,South BBC
A412-CPX-5,2.4,1.95,0.04,0.02,0.81,0,0.74,0.43,0,0.02,0.02,4.02,36.8,South BBC
A412-CPX-6,2.4,1.95,0.04,0.02,0.8,0,0.71,0.46,0,0.02,0.02,4.02,39.4,South BBC
Average,2.4,1.95,0.05,0.02,0.8,0,0.71,0.46,0,0.02,0.02,4.02,39.2,South BBC
C402-CPX-1,2.46,1.95,0.05,0.02,0.79,0,0.71,0.46,0,0.02,0.02,4.02,39,South BBC
C402-CPX-2,2.49,1.94,0.04,0.02,0.79,0,0.74,0.47,0,0.02,0.02,4.03,39,South BBC
C402-CPX-3,2.44,1.96,0.04,0.02,0.79,0,0.77,0.41,0,0.02,0.02,4.02,34.5,South BBC
C402-CPX-4,2.42,1.94,0.05,0.02,0.78,0,0.68,0.5,0,0.02,0.02,4.02,42.1,South BBC
C402-CPX-5,2.44,1.94,0.05,0.02,0.77,0,0.69,0.51,0,0.02,0.02,4.02,42.6,South BBC
C402-CPX-6,2.42,1.96,0.05,0.02,0.77,0,0.7,0.47,0,0.02,0.02,4.01,39.9,South BBC
Average,2.45,1.95,0.04,0.02,0.78,0,0.72,0.47,0,0.02,0.02,4.02,39.5,South BBC
SB28-CPX-1,2.36,1.94,0.07,0.03,0.75,0,0.42,0.76,0,0.03,0.01,4.01,64.6,South BBC
Average,2.36,1.94,0.07,0.03,0.75,0,0.42,0.76,0,0.03,0.01,4.01,64.6,South BBC
